attack_type,n_trials,final_nsw_ratio_mean,final_nsw_ratio_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_ci95,final_detection_rate_mean,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_ci95,final_min_util_mean,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_ci95
burst,900,0.6165036157783177,0.011066454994307754,0.10824443866380958,0.00922852110776007,0.75,0.02829016319029166,0.0,0.0,4.294560897375221,0.07594551835406557,1.1329069596150994,0.035973725004216396
byzantine,900,0.613663008285435,0.012606873488286508,0.11227434308677667,0.012697634772775825,0.75,0.02829016319029166,0.0,0.0,4.276768970813099,0.08772697665603484,1.1352809120038907,0.03655662384721722
compound,900,0.5988292826602203,0.011288157662730681,0.1340559740059958,0.010520718429943439,0.68,0.027338701911799365,0.0,0.0,4.168959059743974,0.07753357080407332,1.1060473603039105,0.035379568016804225
reputation_poison,900,0.6029384955533437,0.011136877540321196,0.1471084892353652,0.009559095905624064,0.5,0.03266666666666666,0.0,0.0,4.19669750923308,0.07570322012524668,1.11133296063362,0.03638883865031661
trust_mimicry,900,0.6028558634005887,0.011131619966301156,0.14660381304517217,0.009540675915641015,0.5,0.03266666666666666,0.0,0.0,4.19753860132638,0.07578400115323047,1.1075681373903818,0.036314498060368544
