trust_mode,n_trials,final_nsw_ratio_mean,final_nsw_ratio_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_ci95,final_detection_rate_mean,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_ci95,final_min_util_mean,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_ci95
algorithm1,1125,0.587622937757778,0.009147404407825738,0.1679408346338677,0.006753142330815101,0.544,0.02703657214301481,0.0,0.0,4.083205645423628,0.06150140822451117,1.0981344411377236,0.03206269727682073
no_trust,1125,0.46757877555451016,0.006967238757358351,0.34898748654651623,0.004562502412587161,0.0,0.0,0.0,0.0,3.2098541856329756,0.04554995059752551,0.9630172472561547,0.028888650666601255
oracle,1125,0.686992542818434,0.009444884070719717,0.0,0.0,1.0,0.0,0.0,0.0,4.81381496417181,0.06357826146914596,1.2052213153279663,0.032937849821598524
sparse_online,1125,0.6856379564116024,0.009429886672063527,0.0017013252493116406,7.703541837202998e-05,1.0,0.0,0.0,0.0,4.800745235564991,0.06354596751971875,1.2081360602356774,0.033071635507234756
