attack_type,trust_mode,n_trials,final_nsw_ratio_mean,final_nsw_ratio_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_ci95,final_detection_rate_mean,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_ci95,final_min_util_mean,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_ci95
burst,algorithm1,225,0.6268594380671946,0.01888336604766482,0.0901639315391348,0.003819217877647987,1.0,0.0,0.0,0.0,4.365352713220173,0.12643507248353003,1.156976827406777,0.07083924883896572
burst,no_trust,225,0.46792844635567743,0.013278605434917079,0.34153642029636294,0.004218964994318932,0.0,0.0,0.0,0.0,3.2080374286055484,0.08409810137936566,0.9589948283987492,0.06299428703119388
burst,oracle,225,0.6861941134216247,0.021047223615613002,0.0,0.0,1.0,0.0,0.0,0.0,4.808031957021234,0.1417449996863659,1.2069893457591485,0.07399634892084736
burst,sparse_online,225,0.6850324652687745,0.021017647879499286,0.0012774028197405653,0.00017564395381390382,1.0,0.0,0.0,0.0,4.796821490653927,0.1417151525864545,1.2086668368957225,0.07433577458059912
byzantine,algorithm1,225,0.6831811815950172,0.021118405366108962,0.009268579054603565,0.0006968203739907065,1.0,0.0,0.0,0.0,4.7823532469437735,0.14228164506563046,1.2092485414364442,0.07414993282330554
byzantine,no_trust,225,0.3930951512674229,0.008789512280658128,0.4382170209779882,0.01264113400747545,0.0,0.0,0.0,0.0,2.6710613982427063,0.05263449490999667,0.9027568760388023,0.059474682678236426
byzantine,oracle,225,0.6898897805281645,0.021368697709338726,0.0,0.0,1.0,0.0,0.0,0.0,4.833319173320915,0.14390934503555589,1.2135892494200118,0.07442196601218297
byzantine,sparse_online,225,0.6884859197511355,0.021333487460175923,0.001611772314514882,0.00017703793126183173,1.0,0.0,0.0,0.0,4.8203420647450015,0.1438507054292551,1.2155289811203045,0.07467870107098615
compound,algorithm1,225,0.5891408710228304,0.01813574056449392,0.15472411277055426,0.007254173426417634,0.72,0.023227814743918072,0.0,0.0,4.094575792849684,0.11909392385730518,1.1054830021258504,0.07207850810666756
compound,no_trust,225,0.4375760898904299,0.011689982586102597,0.3794854416854791,0.008834051182914561,0.0,0.0,0.0,0.0,2.993970907453617,0.07315039420956075,0.9315959944361135,0.0609505229520556
compound,oracle,225,0.6851505432387966,0.020975442886756825,0.0,0.0,1.0,0.0,0.0,0.0,4.802147195932195,0.14091965610080975,1.1912680235621678,0.07182542411727644
compound,sparse_online,225,0.6834496264888242,0.020932834327227177,0.0020143415679499998,0.00021807062819390697,1.0,0.0,0.0,0.0,4.785142342740402,0.14069882615446733,1.1958424210915104,0.07195114923962018
reputation_poison,algorithm1,225,0.5195090077798099,0.017604877396925823,0.29318930608481064,0.0014724052510904464,0.0,0.0,0.0,0.0,3.5859535935642946,0.1136977664755356,1.0127318066711133,0.06893452015795616
reputation_poison,no_trust,225,0.5196442842194724,0.017615548407925556,0.2932056737407716,0.0015000675372774921,0.0,0.0,0.0,0.0,3.586903111085932,0.1136845086893194,1.014227788724912,0.0690571955228127
reputation_poison,oracle,225,0.6869675270572616,0.021107564615984748,0.0,0.0,1.0,0.0,0.0,0.0,4.813506465913884,0.1421601624213878,1.2073372257496764,0.07398356946269012
reputation_poison,sparse_online,225,0.685633163156831,0.02107369261459691,0.002038977115878599,0.00011559682746025672,1.0,0.0,0.0,0.0,4.800426866368208,0.14212061459211664,1.211035021388778,0.07441673442060497
trust_mimicry,algorithm1,225,0.5194241903240374,0.017595823438425712,0.2923582437202353,0.0014119317970253582,0.0,0.0,0.0,0.0,3.5877928805402086,0.11445879732378923,1.0062320280484323,0.06853575605210009
trust_mimicry,no_trust,225,0.5196499060395482,0.017616729981714985,0.29249287603197927,0.0014605654381984008,0.0,0.0,0.0,0.0,3.589298082777075,0.11451682090208742,1.007510748682197,0.06867869199761349
trust_mimicry,oracle,225,0.6867607498463223,0.02109093325527234,0.0,0.0,1.0,0.0,0.0,0.0,4.812070028670816,0.14204236486630525,1.206922732148827,0.0739682434680061
trust_mimicry,sparse_online,225,0.685588607392447,0.021064169467106326,0.001564132428474157,0.00013455364411274752,1.0,0.0,0.0,0.0,4.800993413317416,0.14202334948759165,1.2096070406820714,0.07431079348639077
