approach,attack_type,trust_mode,n_trials,final_nsw_ratio_mean,final_nsw_ratio_std,final_nsw_ratio_ci95,final_nsw_legit_mean,final_nsw_legit_std,final_nsw_legit_ci95,final_min_util_mean,final_min_util_std,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_std,final_fairness_gap_ci95,final_detection_rate_mean,final_detection_rate_std,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_std,final_fp_rate_ci95,final_fn_rate_mean,final_fn_rate_std,final_fn_rate_ci95,final_algorithm1_detection_rate_mean,final_algorithm1_detection_rate_std,final_algorithm1_detection_rate_ci95,final_algorithm1_fp_rate_mean,final_algorithm1_fp_rate_std,final_algorithm1_fp_rate_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_std,avg_malicious_resource_share_ci95,final_malicious_resource_share_mean,final_malicious_resource_share_std,final_malicious_resource_share_ci95,avg_malicious_trusted_count_mean,avg_malicious_trusted_count_std,avg_malicious_trusted_count_ci95,final_malicious_trusted_count_mean,final_malicious_trusted_count_std,final_malicious_trusted_count_ci95,avg_alpha_t_mean,avg_alpha_t_std,avg_alpha_t_ci95,avg_expert_defensive_weight_mean,avg_expert_defensive_weight_std,avg_expert_defensive_weight_ci95,avg_expert_aggressive_weight_mean,avg_expert_aggressive_weight_std,avg_expert_aggressive_weight_ci95,avg_expert_gm_weight_mean,avg_expert_gm_weight_std,avg_expert_gm_weight_ci95
adaptive_alpha,burst,algorithm1,25,0.7121029034260595,0.021362829907787793,0.008374229323852815,5.576252892071891,0.1883278516377824,0.07382451784201069,4.92639605322859,0.2312383663482821,0.09064543960852658,1.356364318305143,0.2982056985785172,0.11689663384277874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09411351131861725,0.028611593683576974,0.011215744723962173,0.0,0.0,0.0,0.8427,0.28880349720874227,0.11321097090582696,0.0,0.0,0.0,0.3400599188194215,0.009591523434364563,0.003759877186270909,,,,,,,,,
adaptive_alpha,burst,no_trust,25,0.519149770927325,0.006846642207495413,0.002683883745338202,4.065216706459991,0.07856453872477007,0.030797299180109865,3.5216789294726776,0.1738908153485835,0.06816519961664473,1.1556315315944,0.2639519656710249,0.10346917054304176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3626344212828041,0.004345633732952456,0.001703488423317363,0.2823424236139756,0.32592669639499333,0.12776326498683738,4.0,0.0,0.0,4.0,0.0,0.0,0.34256846474466973,0.009643116708130456,0.0037801017495871386,,,,,,,,,
adaptive_alpha,burst,oracle,25,0.779753570926556,0.006356868314691684,0.00249189237935914,6.106151483873973,0.11481728826545566,0.04500837700005862,5.422376741254462,0.20592260882786093,0.08072166266052147,1.4359395034427778,0.3410477466945319,0.13369071670425653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33940556235594616,0.009675330527944346,0.003792729566954183,,,,,,,,,
adaptive_alpha,burst,sparse_online,25,0.7785614739364641,0.0063936803005620125,0.002506322677820309,6.096766516626211,0.11212274620474394,0.04395211651225962,5.414479831393679,0.20492603537685813,0.08033100586772839,1.4355343704291341,0.34056998134088806,0.13350343268562812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012377600192541108,0.0012944737262310872,0.0005074337006825862,0.0,0.0,0.0,0.006000000000000001,0.005744562646538029,0.0022518685574429076,0.0,0.0,0.0,0.3394023398174771,0.009678572842079361,0.0037940005540951097,,,,,,,,,
adaptive_alpha,byzantine,algorithm1,25,0.8048353150342397,0.006176531635490208,0.002421200401112162,6.302041617620358,0.08439035861691628,0.03308102057783118,5.594927267916305,0.20084249698528878,0.0787302588182332,1.4814888311344676,0.34421217073210675,0.13493117092698584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.010034441016531413,0.0062594003127727765,0.0024536849226069286,0.0,0.0,0.0,0.049100000000000005,0.026794402400501485,0.01050340574099658,0.0,0.0,0.0,0.2853968672979112,0.0064110137884567315,0.0025131174050750387,,,,,,,,,
adaptive_alpha,byzantine,no_trust,25,0.4002632842927207,0.011656478271618241,0.004569339482474351,3.1344318547317496,0.10564500601906848,0.041412842359474844,2.6593034639082886,0.15655045952996988,0.061367780135748194,1.104239473518905,0.3182493802313507,0.12475375705068947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5231203775172353,0.010043606060345898,0.003937093575655592,0.6014985448804384,0.3267035021997955,0.12806777286231982,4.0,0.0,0.0,4.0,0.0,0.0,0.29296709323709097,0.006263473035528605,0.002455281429927213,,,,,,,,,
adaptive_alpha,byzantine,oracle,25,0.8130145748854151,0.004575813613869759,0.0017937189366369454,6.366513445843985,0.10766664686408517,0.04220532557072139,5.649961687951584,0.2064700685113366,0.08093626685644394,1.4953386363905488,0.34536437920201624,0.13538283664719036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28532218490658473,0.006444994828183443,0.0025264379726479096,,,,,,,,,
adaptive_alpha,byzantine,sparse_online,25,0.8115378331831837,0.004740097740115508,0.0018581183141252791,6.354903954506679,0.1051722662827913,0.04122752838285419,5.6411535863392945,0.20711826163000052,0.0811903585589602,1.4925960894445702,0.3456833742441053,0.13550788270368927,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0015546346330106225,0.0013421005858060488,0.0005261034296359711,0.0,0.0,0.0,0.0087,0.00678675180038286,0.0026604067057500813,0.0,0.0,0.0,0.28533046675994583,0.006443245306918362,0.0025257521603119976,,,,,,,,,
adaptive_alpha,compound,algorithm1,25,0.6719241519708973,0.04228086694437081,0.01657409984219336,5.258595907019838,0.2899962888179415,0.11367854521663305,4.624015637162676,0.32516283152294956,0.12746382995699623,1.3257459971149228,0.3391924667173647,0.13296344695320697,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.28,0.1777638883463118,0.06968344423175422,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.16408139058286678,0.05262699103298266,0.0206297804849292,0.08572656210235573,0.19061021891663837,0.07471920581532224,1.4734,0.6812656897275835,0.26705615037321273,1.12,0.7110555533852472,0.2787337769270169,0.32809764742035596,0.017258610730336656,0.006765375406291969,,,,,,,,,
adaptive_alpha,compound,no_trust,25,0.4688429415754439,0.039263198619233386,0.015391173858739487,3.673853282752201,0.340576608447776,0.13350603051152818,3.158323225473312,0.2960509098917176,0.1160519566775533,1.1320789187340705,0.3005639160386534,0.11782105508715213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.72,0.1777638883463118,0.06968344423175422,0.0,0.0,0.0,0.4243450274746462,0.04828930034987125,0.01892940573714953,0.40749383700224295,0.33925294745225715,0.1329871554012848,4.0,0.0,0.0,4.0,0.0,0.0,0.3319026553037159,0.015991773438853996,0.006268775188030766,,,,,,,,,
