approach,n_trials,final_nsw_ratio_mean,final_nsw_ratio_ci95,avg_malicious_resource_share_mean,avg_malicious_resource_share_ci95,final_detection_rate_mean,final_detection_rate_ci95,final_fp_rate_mean,final_fp_rate_ci95,final_min_util_mean,final_min_util_ci95,final_fairness_gap_mean,final_fairness_gap_ci95
adaptive_alpha,500,0.6949990619584522,0.010860657069695882,0.13813837900734205,0.015080441546709261,0.636,0.04139304691370278,0.0,0.0,4.79648343447709,0.08125145762223254,1.354853618167077,0.030620979606461655
baseline_fixed_alpha,500,0.596999362702755,0.009207832168128061,0.13259877736560674,0.014284543219053591,0.636,0.04139304691370278,0.0,0.0,4.105319687053322,0.06857976032256638,1.2029087237814329,0.02707447763411806
expert_advice,500,0.7347539584353578,0.011445313255755141,0.14139640534328124,0.015425658494510195,0.636,0.04139304691370278,0.0,0.0,5.0625728836273,0.08572866586360363,1.441505776410558,0.03160521851915199
generalized_mean_greedy,500,0.575886865917271,0.008147831424580384,0.1289855054304183,0.013656487478372857,0.636,0.04139304691370278,0.0,0.0,4.1540622829820935,0.06064191953415641,0.779990361270822,0.014759770022791075
pace_trusted,500,0.5970029599028976,0.0072059935759761305,0.11645496709538464,0.012170305784645235,0.636,0.04139304691370278,0.0,0.0,3.9002126905963768,0.05546573723459026,1.7028312346147427,0.038684164707376345
pure_equal_alpha1,500,0.3251891058719449,0.004264901972089393,0.1098256863136863,0.01162505992724737,0.636,0.04139304691370278,0.0,0.0,2.388820771152644,0.0314080870009667,0.3386511221773789,0.007335587373139496
pure_greedy_alpha0,500,0.856703298211939,0.013206975286747972,0.14718648325124076,0.016259145814391508,0.636,0.04139304691370278,0.0,0.0,5.86735699091981,0.09891240382093214,1.744376028471844,0.036343785260800225
robust_aggregation,500,0.5807597186816119,0.007746872566652662,0.1252557265201586,0.013269540870075858,0.636,0.04139304691370278,0.0,0.0,4.127993297544179,0.05716239661931254,0.8919348056889046,0.020239557188114158
sample_resolving,500,0.5003281465380006,0.007118322325171996,0.1270747741396964,0.013366810389808453,0.636,0.04139304691370278,0.0,0.0,3.6393230309323403,0.05295540931837944,0.6105937233216644,0.011675691145327434
