approach,attack_type,trust_mode,trial,seed,n_rounds,final_nsw_ratio,final_nsw_legit,offline_nsw,final_min_util,final_fairness_gap,final_detection_rate,final_fp_rate,final_fn_rate,final_algorithm1_detection_rate,final_algorithm1_fp_rate,avg_malicious_resource_share,final_malicious_resource_share,avg_malicious_trusted_count,final_malicious_trusted_count,avg_alpha_t,avg_expert_defensive_weight,avg_expert_aggressive_weight,avg_expert_gm_weight
adaptive_alpha,burst,algorithm1,0,42,400,0.6801547214622788,5.4333897136257425,7.988461363532675,4.783926717002123,1.3833466307423006,1.0,0.0,0.0,1.0,0.0,0.13054742030006253,0.0,1.285,0.0,0.3361665939648646,,,
adaptive_alpha,burst,algorithm1,1,55,400,0.7224669020353486,5.788053314987218,8.011513466819027,5.210006948503837,1.101661008507488,1.0,0.0,0.0,1.0,0.0,0.09442412137825604,0.0,0.935,0.0,0.31691537498161926,,,
adaptive_alpha,burst,algorithm1,2,68,400,0.7195000622995035,5.587268465929594,7.76548711903211,4.983725686002192,1.70207789723331,1.0,0.0,0.0,1.0,0.0,0.08124982859513753,0.0,0.7325,0.0,0.33944677132353346,,,
adaptive_alpha,burst,algorithm1,3,81,400,0.7258096191733755,5.615960726503055,7.737512121841362,5.097150464342741,1.0860547625040065,1.0,0.0,0.0,1.0,0.0,0.07204282251235301,0.0,0.635,0.0,0.3507602361479876,,,
adaptive_alpha,burst,algorithm1,4,94,400,0.746223341607911,5.866256908323259,7.8612616106098345,5.303774310136115,1.3451995525125824,1.0,0.0,0.0,1.0,0.0,0.04677048940088366,0.0,0.33,0.0,0.3364574744772061,,,
adaptive_alpha,burst,algorithm1,5,107,400,0.6814089486957724,5.307055585930031,7.788356164220942,4.729474390773476,1.3129260321861835,1.0,0.0,0.0,1.0,0.0,0.12609800626727372,0.0,1.12,0.0,0.35035599828320746,,,
adaptive_alpha,burst,algorithm1,6,120,400,0.6959824089076401,5.402812920119983,7.762858444367607,4.877778270248097,1.0261677353364744,1.0,0.0,0.0,1.0,0.0,0.11886827881818281,0.0,1.1875,0.0,0.336354505819031,,,
adaptive_alpha,burst,algorithm1,7,133,400,0.7128079880766954,5.617455868766702,7.880742026928976,4.944508479479288,1.3690051634804465,1.0,0.0,0.0,1.0,0.0,0.11147832086273457,0.0,1.125,0.0,0.32626140724386515,,,
adaptive_alpha,burst,algorithm1,8,146,400,0.7003444377392367,5.497672933295381,7.849955874629737,5.029813280277535,1.1025400495632756,1.0,0.0,0.0,1.0,0.0,0.11743154818973381,0.0,0.8975,0.0,0.3330875820992098,,,
adaptive_alpha,burst,algorithm1,9,159,400,0.7282664463054924,5.744548332079759,7.887976112619147,4.956218569982216,2.083526308663699,1.0,0.0,0.0,1.0,0.0,0.05672410613461685,0.0,0.58,0.0,0.35049392689580644,,,
adaptive_alpha,burst,algorithm1,10,172,400,0.7052253161773586,5.492555015082159,7.7883690348133,4.624105126329527,1.5583278387920192,1.0,0.0,0.0,1.0,0.0,0.10679526456508368,0.0,1.0475,0.0,0.342101303293491,,,
adaptive_alpha,burst,algorithm1,11,185,400,0.7460555659043802,5.8820017886154785,7.8841336455753455,5.183212012829809,1.5578858630114594,1.0,0.0,0.0,1.0,0.0,0.05284640404245209,0.0,0.5125,0.0,0.3376347756823648,,,
adaptive_alpha,burst,algorithm1,12,198,400,0.6991609453762276,5.572030880493348,7.969596867992914,4.923913869610545,1.4258338557680386,1.0,0.0,0.0,1.0,0.0,0.10702084344095684,0.0,1.085,0.0,0.3469593745490773,,,
adaptive_alpha,burst,algorithm1,13,211,400,0.7466266554365889,5.685182522480045,7.614491769190376,4.718119691937408,2.0615958139184754,1.0,0.0,0.0,1.0,0.0,0.059476371330350615,0.0,0.45,0.0,0.32738099719062963,,,
