approach,attack_type,ratio_200_rounds,ratio_400_rounds,delta_400_minus_200
baseline_fixed_alpha,byzantine,0.6657009896350898,0.6715475805540173,0.0058465909189274745
baseline_fixed_alpha,burst,0.5616812237222171,0.6186489967766127,0.0569677730543956
baseline_fixed_alpha,reputation_poison,0.5145959146241679,0.5204724872799783,0.00587657265581043
baseline_fixed_alpha,trust_mimicry,0.5151037974080762,0.5205099452454586,0.005406147837382358
adaptive_alpha,byzantine,0.7828621793308776,0.8048353150342397,0.021973135703362012
adaptive_alpha,burst,0.6186018110288655,0.7121029034260595,0.09350109239719406
adaptive_alpha,reputation_poison,0.5946075369290891,0.6083393732077227,0.013731836278633613
adaptive_alpha,trust_mimicry,0.5914623497282,0.6072499454208027,0.015787595692602685
pace_trusted,byzantine,0.6552898589831575,0.659252853294813,0.003962994311655477
pace_trusted,burst,0.5635245273571994,0.6143190051505542,0.050794477793354775
pace_trusted,reputation_poison,0.5057825560681883,0.494016461433273,-0.011766094634915347
pace_trusted,trust_mimicry,0.5055442858089882,0.49427844224467776,-0.011265843564310485
generalized_mean_greedy,byzantine,0.6396254513014562,0.6472393562452949,0.007613904943838734
generalized_mean_greedy,burst,0.5404802395907862,0.5967461061678769,0.05626586657709076
generalized_mean_greedy,reputation_poison,0.4795952906956194,0.48049517719543927,0.0008998864998198686
generalized_mean_greedy,trust_mimicry,0.4801224470702374,0.48047244127276684,0.0003499942025294578
sample_resolving,byzantine,0.5579518763561659,0.5624036303365173,0.004451753980351358
sample_resolving,burst,0.47052363178809176,0.5188947123741883,0.048371080586096515
sample_resolving,reputation_poison,0.41334649714945565,0.4132842455241834,-6.225162527223604e-05
sample_resolving,trust_mimicry,0.4134203618939057,0.41313543323083557,-0.00028492866307011644
expert_advice,byzantine,0.8110616048211138,0.8269199027984315,0.015858297977317748
expert_advice,burst,0.6744669185230052,0.7585159573139668,0.0840490387909616
expert_advice,reputation_poison,0.6324372364425525,0.6477564845261411,0.015319248083588644
expert_advice,trust_mimicry,0.6317463168432558,0.647879623402976,0.01613330655972023
robust_aggregation,byzantine,0.6428837332037873,0.6478407487993997,0.004957015595612346
robust_aggregation,burst,0.5453739432398005,0.5993594944501975,0.053985551210397054
robust_aggregation,reputation_poison,0.48743352588083333,0.4913836830369419,0.00395015715610858
robust_aggregation,trust_mimicry,0.48725269566994056,0.49085438692923544,0.0036016912592948813
