approach,attack_type,trial,seed,final_nsw_legit,final_nsw_ratio,final_dr,final_fpr,final_min_util,final_fairness_gap,conv_round,spectral_f1,sparse_f1,alg1_f1,offline_nsw
expert_advice,byzantine,0,42,6.51854070858831,0.8159945215915354,1.0,0.0,5.802210713553914,1.5918647029259292,0,0.4,1.0,1.0,7.988461363532675
expert_advice,byzantine,1,55,6.550787629835676,0.8176716742681415,1.0,0.0,6.068131083646772,1.029217756451981,0,0.6666666666666666,1.0,1.0,8.011513466819027
expert_advice,byzantine,2,68,6.465805139031463,0.8326335540734708,1.0,0.0,5.705347521563508,1.8256740221619987,0,0.6666666666666666,1.0,1.0,7.76548711903211
expert_advice,byzantine,3,81,6.43765833601667,0.8320062359378438,1.0,0.0,5.8722854249692285,1.1547714670895308,0,0.6666666666666666,1.0,1.0,7.737512121841362
expert_advice,byzantine,4,94,6.561509141593372,0.8346636286391651,1.0,0.0,5.947402404967239,1.4430827075524695,0,0.6666666666666666,1.0,1.0,7.8612616106098345
expert_advice,byzantine,5,107,6.433973516216853,0.8261016035417064,1.0,0.0,5.684104577829986,1.5650052797157628,1,0.4,1.0,1.0,7.788356164220942
expert_advice,byzantine,6,120,6.441344249042852,0.8297644862655471,1.0,0.0,5.987273829248488,1.154106812096205,0,0.6666666666666666,1.0,1.0,7.762858444367607
expert_advice,byzantine,7,133,6.518830062822479,0.8271848057641322,1.0,0.0,5.720540504623836,1.7860922279032572,9,0.4,1.0,1.0,7.880742026928976
expert_advice,byzantine,8,146,6.4712227950786465,0.8243642255357108,1.0,0.0,5.8109615067732925,1.3586850766214127,4,0.4,1.0,1.0,7.849955874629737
expert_advice,byzantine,9,159,6.472520824715069,0.8205553277931915,1.0,0.0,5.745854470561102,2.2724558454919306,0,0.4,1.0,1.0,7.887976112619147
expert_advice,byzantine,10,172,6.4413595371392285,0.8270485782513564,1.0,0.0,5.471185890101431,1.7776857649043576,0,0.4,1.0,1.0,7.7883690348133
expert_advice,byzantine,11,185,6.54140737146696,0.8296926035922872,1.0,0.0,5.881507528883904,1.490201732974846,9,0.4,1.0,1.0,7.8841336455753455
expert_advice,byzantine,12,198,6.515112535543025,0.8174958713041918,1.0,0.0,5.705321028670171,1.624051883956934,15,0.4,1.0,1.0,7.969596867992914
