approach,attack_type,trial,seed,final_nsw_legit,final_nsw_ratio,final_dr,final_fpr,final_min_util,final_fairness_gap,conv_round,spectral_f1,sparse_f1,alg1_f1,offline_nsw
sample_resolving,byzantine,0,42,4.472911835651096,0.5599215708884739,1.0,0.0,4.158161682225967,0.6814399945787732,0,0.4,1.0,1.0,7.988461363532675
sample_resolving,byzantine,1,55,4.467183043951378,0.5575953984790684,1.0,0.0,4.274543251318207,0.5170362399246455,0,0.6666666666666666,1.0,1.0,8.011513466819027
sample_resolving,byzantine,2,68,4.356635249234648,0.5610253654992423,1.0,0.0,3.894168751033312,0.9818975264384258,0,0.6666666666666666,1.0,1.0,7.76548711903211
sample_resolving,byzantine,3,81,4.372456077987709,0.5650984462622282,1.0,0.0,4.0291541370269925,0.5780319372204481,0,0.6666666666666666,1.0,1.0,7.737512121841362
sample_resolving,byzantine,4,94,4.430773160450968,0.5636211310498866,1.0,0.0,4.16177612789144,0.61320522997827,0,0.6666666666666666,1.0,1.0,7.8612616106098345
sample_resolving,byzantine,5,107,4.364849895546743,0.5604327541668548,1.0,0.0,4.001088991918501,0.6758099224811254,1,0.4,1.0,1.0,7.788356164220942
sample_resolving,byzantine,6,120,4.356993792831535,0.5612615280899241,1.0,0.0,4.051750421481446,0.7668537868200875,0,0.6666666666666666,1.0,1.0,7.762858444367607
sample_resolving,byzantine,7,133,4.425445782317858,0.5615519156947202,1.0,0.0,4.077602666130944,0.6703966006826052,9,0.4,1.0,1.0,7.880742026928976
sample_resolving,byzantine,8,146,4.414161106469646,0.5623166775670381,1.0,0.0,4.079542546506172,0.6393374765758244,4,0.4,1.0,1.0,7.849955874629737
sample_resolving,byzantine,9,159,4.409879298683477,0.5590634702390355,1.0,0.0,4.106647259871871,0.9029383066265888,0,0.4,1.0,1.0,7.887976112619147
sample_resolving,byzantine,10,172,4.372651402496095,0.5614335148926228,1.0,0.0,4.026096783573215,0.7418267502424802,0,0.4,1.0,1.0,7.7883690348133
sample_resolving,byzantine,11,185,4.412736445312401,0.5596983313174647,1.0,0.0,4.081487202842921,0.7273034914642604,9,0.4,1.0,1.0,7.8841336455753455
sample_resolving,byzantine,12,198,4.4703521378619175,0.560925754703543,1.0,0.0,4.197521752038757,0.7022899093369563,15,0.4,1.0,1.0,7.969596867992914
sample_resolving,byzantine,13,211,4.266977412508756,0.5603758651068119,1.0,0.0,3.8913716290118647,0.7071827748692905,0,0.6666666666666666,1.0,1.0,7.614491769190376
sample_resolving,byzantine,14,224,4.3762205548023,0.5722733402861094,1.0,0.0,4.148476646627333,0.5088717759068144,1,0.4,1.0,1.0,7.647080943198224
sample_resolving,byzantine,15,237,4.2565269391775935,0.5622095427544691,1.0,0.0,3.900004960923434,0.6777240375657811,0,0.6666666666666666,1.0,1.0,7.571068463767654
sample_resolving,byzantine,16,250,4.412013819953808,0.5625984685479978,1.0,0.0,4.182155979259711,0.5343145415922601,9,0.4,1.0,1.0,7.842207305221983
sample_resolving,byzantine,17,263,4.506896113667886,0.5604101172013762,1.0,0.0,4.251942321218086,0.7825521465316418,32,0.4,1.0,1.0,8.042139096586634
sample_resolving,byzantine,18,276,4.464925432737298,0.5633179818424219,1.0,0.0,4.17384549996281,0.6758532301543108,14,0.6666666666666666,1.0,1.0,7.92611913103509
sample_resolving,byzantine,19,289,4.4748181317731595,0.5633531592457721,1.0,0.0,4.165317460871888,0.6655085836576866,0,0.6666666666666666,1.0,1.0,7.943184587380553
sample_resolving,byzantine,20,302,4.32151527297369,0.5625888034625823,1.0,0.0,3.980836993089369,0.6484217373995325,0,0.4,1.0,1.0,7.681481121515268
sample_resolving,byzantine,21,315,4.37164217597301,0.5689737361070972,1.0,0.0,3.927212046947904,0.7449500744577797,0,0.6666666666666666,1.0,1.0,7.6833813206979755
sample_resolving,byzantine,22,328,4.537432517981289,0.5655215848655248,1.0,0.0,4.314520333321128,0.5398254054104674,2,0.4,1.0,1.0,8.02344709629473
sample_resolving,byzantine,23,341,4.396075996861471,0.5630424634078444,1.0,0.0,4.168597346435109,0.5481010774565602,18,0.4,1.0,1.0,7.807716615642074
