approach,attack_type,trial,seed,final_nsw_legit,final_nsw_ratio,final_dr,final_fpr,final_min_util,final_fairness_gap,conv_round,spectral_f1,sparse_f1,alg1_f1,offline_nsw
generalized_mean_greedy,byzantine,0,42,5.146050459282302,0.6441854351044397,1.0,0.0,4.7335355055334745,0.915847859028494,0,0.4,1.0,1.0,7.988461363532675
generalized_mean_greedy,byzantine,1,55,5.151027426956136,0.6429531009702406,1.0,0.0,4.894111722375157,0.6656843797737997,0,0.6666666666666666,1.0,1.0,8.011513466819027
generalized_mean_greedy,byzantine,2,68,5.009034285618623,0.6450380006866779,1.0,0.0,4.474843379292512,1.2589564194154281,0,0.6666666666666666,1.0,1.0,7.76548711903211
generalized_mean_greedy,byzantine,3,81,5.0549097986580165,0.6532991120477956,1.0,0.0,4.671946237687157,0.7029132006736418,0,0.6666666666666666,1.0,1.0,7.737512121841362
generalized_mean_greedy,byzantine,4,94,5.120926648078184,0.6514128268122767,1.0,0.0,4.766420515337203,0.8007855300976807,0,0.6666666666666666,1.0,1.0,7.8612616106098345
generalized_mean_greedy,byzantine,5,107,5.019401769948229,0.6444751195389524,1.0,0.0,4.509981976613334,0.8913154138129817,1,0.4,1.0,1.0,7.788356164220942
generalized_mean_greedy,byzantine,6,120,4.999106203049971,0.6439775037605001,1.0,0.0,4.609997389260915,0.9622688588115036,0,0.6666666666666666,1.0,1.0,7.762858444367607
generalized_mean_greedy,byzantine,7,133,5.1025486653449095,0.6474705868951413,1.0,0.0,4.648890656786262,0.7907474689053879,9,0.4,1.0,1.0,7.880742026928976
generalized_mean_greedy,byzantine,8,146,5.084897222490017,0.6477612490694235,1.0,0.0,4.648556856572664,0.8301903469481795,4,0.4,1.0,1.0,7.849955874629737
generalized_mean_greedy,byzantine,9,159,5.053436844407507,0.6406506272658512,1.0,0.0,4.6513988049562425,1.1446170709666,0,0.4,1.0,1.0,7.887976112619147
generalized_mean_greedy,byzantine,10,172,5.022891880459743,0.644922172794827,1.0,0.0,4.571668524096498,0.9382842258371111,0,0.4,1.0,1.0,7.7883690348133
generalized_mean_greedy,byzantine,11,185,5.087412489148845,0.6452722287380239,1.0,0.0,4.671859754572073,0.9175288893788354,9,0.4,1.0,1.0,7.8841336455753455
generalized_mean_greedy,byzantine,12,198,5.142526330600828,0.6452680625859482,1.0,0.0,4.7979551555001825,0.8950770047580461,15,0.4,1.0,1.0,7.969596867992914
generalized_mean_greedy,byzantine,13,211,4.918593343229659,0.6459516264934695,1.0,0.0,4.4101338601815,0.9013649305532505,0,0.6666666666666666,1.0,1.0,7.614491769190376
generalized_mean_greedy,byzantine,14,224,5.008124904065267,0.6549067469358744,1.0,0.0,4.765506500988512,0.583892773765621,1,0.4,1.0,1.0,7.647080943198224
generalized_mean_greedy,byzantine,15,237,4.896908924076838,0.6467923183513187,1.0,0.0,4.486345484974002,0.787151406345389,0,0.6666666666666666,1.0,1.0,7.571068463767654
generalized_mean_greedy,byzantine,16,250,5.070818540616597,0.6466060310902558,1.0,0.0,4.8239073444727385,0.6778127200210431,9,0.4,1.0,1.0,7.842207305221983
generalized_mean_greedy,byzantine,17,263,5.20921897847535,0.6477404725176074,1.0,0.0,4.884554063286709,0.9342467512659054,32,0.4,1.0,1.0,8.042139096586634
generalized_mean_greedy,byzantine,18,276,5.173459276082363,0.6527102596560075,1.0,0.0,4.73479832444435,0.9012485873054672,14,0.6666666666666666,1.0,1.0,7.92611913103509
generalized_mean_greedy,byzantine,19,289,5.147212502734366,0.6480036370943479,1.0,0.0,4.7370326237337395,0.8594135754086114,0,0.6666666666666666,1.0,1.0,7.943184587380553
generalized_mean_greedy,byzantine,20,302,4.92998934280436,0.6418019213763111,1.0,0.0,4.515886019792707,0.8351122674394711,0,0.4,1.0,1.0,7.681481121515268
generalized_mean_greedy,byzantine,21,315,5.023356086562593,0.653794973448781,1.0,0.0,4.520128733646095,0.8734944736768275,0,0.6666666666666666,1.0,1.0,7.6833813206979755
generalized_mean_greedy,byzantine,22,328,5.2160813492491505,0.6501047849692889,1.0,0.0,4.949602810480644,0.6674605608753028,2,0.4,1.0,1.0,8.02344709629473
generalized_mean_greedy,byzantine,23,341,5.0712738583321935,0.6495207380058264,1.0,0.0,4.758008160706445,0.7439684687729233,18,0.4,1.0,1.0,7.807716615642074
generalized_mean_greedy,byzantine,24,354,5.04877372201179,0.6463643699231855,1.0,0.0,4.684635347799604,0.9762157572497205,12,0.4,1.0,1.0,7.811033461841021
generalized_mean_greedy,burst,0,42,4.571693589538442,0.572287125329068,1.0,0.0,4.162491862391801,0.8758284998904795,0,0.4,1.0,1.0,7.988461363532675
generalized_mean_greedy,burst,1,55,4.735451270557504,0.5910807352655821,1.0,0.0,4.4784667248053145,0.6576124178137137,0,0.6666666666666666,1.0,1.0,8.011513466819027
generalized_mean_greedy,burst,2,68,4.6621598771343855,0.6003692757030131,1.0,0.0,4.134311245727108,1.2424444086248831,0,0.6666666666666666,1.0,1.0,7.76548711903211
generalized_mean_greedy,burst,3,81,4.787322702477104,0.6187160197091651,1.0,0.0,4.398167923002961,0.6985352517647883,0,0.6666666666666666,1.0,1.0,7.737512121841362
generalized_mean_greedy,burst,4,94,4.879476996508599,0.6206989715140742,1.0,0.0,4.528781126363272,0.7859889886207103,0,0.4,1.0,1.0,7.8612616106098345
generalized_mean_greedy,burst,5,107,4.4782011026514725,0.574986686307947,1.0,0.0,4.028663926097218,0.8224318857285882,0,0.6666666666666666,1.0,1.0,7.788356164220942
generalized_mean_greedy,burst,6,120,4.439687649262934,0.5719140289726884,1.0,0.0,4.097762631648742,0.8540028491558251,0,0.4,1.0,1.0,7.762858444367607
generalized_mean_greedy,burst,7,133,4.571044920800529,0.5800272239823343,1.0,0.0,4.164884097534244,0.7552283149998038,0,0.6666666666666666,1.0,1.0,7.880742026928976
generalized_mean_greedy,burst,8,146,4.597504276098498,0.5856726266394906,1.0,0.0,4.1970761177711955,0.800044168487867,121,0.4,1.0,1.0,7.849955874629737
generalized_mean_greedy,burst,9,159,4.8249020827327245,0.6116780798833643,1.0,0.0,4.428268343297872,1.1107713945895314,0,0.4,1.0,1.0,7.887976112619147
generalized_mean_greedy,burst,10,172,4.610857499463817,0.5920183646734899,1.0,0.0,4.176625559505116,0.9064634930755728,0,0.6666666666666666,1.0,1.0,7.7883690348133
generalized_mean_greedy,burst,11,185,4.858507193465767,0.6162385636616409,1.0,0.0,4.46528663050847,0.8919395417858498,0,0.4,1.0,1.0,7.8841336455753455
generalized_mean_greedy,burst,12,198,4.740439969129795,0.5948155280185008,1.0,0.0,4.3989979982139005,0.8500095521806914,130,0.6666666666666666,1.0,1.0,7.969596867992914
generalized_mean_greedy,burst,13,211,4.680039252495163,0.6146226687684471,1.0,0.0,4.180051447023133,0.8827223952026904,0,0.6666666666666666,1.0,1.0,7.614491769190376
generalized_mean_greedy,burst,14,224,4.779520260084441,0.625012379963839,1.0,0.0,4.5392669449466965,0.5834887694449042,1,0.4,1.0,1.0,7.647080943198224
generalized_mean_greedy,burst,15,237,4.425375424772371,0.5845113468396949,1.0,0.0,4.044897857649859,0.747296555564378,0,0.4,1.0,1.0,7.571068463767654
generalized_mean_greedy,burst,16,250,4.51176044819704,0.5753176717469253,1.0,0.0,4.2762397795454214,0.6562943005191206,191,0.6666666666666666,1.0,1.0,7.842207305221983
generalized_mean_greedy,burst,17,263,4.885179858939501,0.6074478195748868,1.0,0.0,4.553897758426098,0.9270737838310588,104,0.4,1.0,1.0,8.042139096586634
generalized_mean_greedy,burst,18,276,4.855262799243648,0.6125649537908961,1.0,0.0,4.44755348206724,0.8705959189569707,0,0.4,1.0,1.0,7.92611913103509
generalized_mean_greedy,burst,19,289,4.771975778211439,0.6007635509053564,1.0,0.0,4.404411967882146,0.8017139676513096,0,0.4,1.0,1.0,7.943184587380553
generalized_mean_greedy,burst,20,302,4.660282676112281,0.6066906371818281,1.0,0.0,4.258284202641491,0.8157942033018859,0,0.4,1.0,1.0,7.681481121515268
generalized_mean_greedy,burst,21,315,4.564300769248351,0.5940484506414839,1.0,0.0,4.082452154025598,0.8624023129172773,0,0.4,1.0,1.0,7.6833813206979755
generalized_mean_greedy,burst,22,328,4.89159182721012,0.6096621275747033,1.0,0.0,4.636751097129242,0.6132453157766022,2,0.6666666666666666,1.0,1.0,8.02344709629473
generalized_mean_greedy,burst,23,341,4.520813094494512,0.5790185936612325,1.0,0.0,4.224400577606817,0.7260485200676516,152,0.4,1.0,1.0,7.807716615642074
generalized_mean_greedy,burst,24,354,4.5185986850979285,0.5784892238872726,1.0,0.0,4.173825774327562,0.8995043506613536,0,0.4,1.0,1.0,7.811033461841021
generalized_mean_greedy,reputation_poison,0,42,3.820368264298365,0.47823580667715887,0.0,0.0,3.5155234945451723,0.672958583231869,400,0.4,1.0,0.0,7.988461363532675
generalized_mean_greedy,reputation_poison,1,55,3.7783823496453244,0.47161904742394845,0.0,0.0,3.54715396280149,0.5659465338503589,400,0.6666666666666666,1.0,0.0,8.011513466819027
generalized_mean_greedy,reputation_poison,2,68,3.715623432492114,0.47847911863579645,0.0,0.0,3.2902836476786317,0.9926028916691929,400,0.4,1.0,0.0,7.76548711903211
generalized_mean_greedy,reputation_poison,3,81,3.805717909215058,0.4918529172280481,0.0,0.0,3.513346116643193,0.4931411187743935,400,0.6666666666666666,1.0,0.0,7.737512121841362
